record_date,symbol,name,strategy,family,signal_date,signal_price,order_price,stop_price,target_price,status,fill_date,fill_price,exit_date,exit_price,pnl,updated_date,side,qty,cash_margin,bt_score
2026-06-05,3563,Ｆ＆ＬＣ,,,,,,,,holding,2026-06-05,9849,,,,2026-06-05,long,100,3,
2026-06-05,8061,西華産,,,,,,,,holding,2026-06-05,2990,,,,2026-06-05,long,200,3,
2026-06-17,3983,オロ,,,,,,,,holding,2026-06-17,2064.9,,,,2026-06-17,long,100,3,96
2026-06-18,4025,多木化学,,,,,,,,holding,2026-06-18,4710,,,,2026-06-18,long,100,3,
2026-06-18,6136,ＯＳＧ,,,,,,,,holding,2026-06-18,3578,,,,2026-06-18,long,100,3,
2026-06-19,5991,ニッパツ,,,,,,,,holding,2026-06-19,4304,,,,2026-06-19,long,100,3,
2026-06-19,6264,マルマエ,,,,,,,,holding,2026-06-19,2970,,,,2026-06-19,long,100,3,
